ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,106620,4900,-101720,0,0,98,false,0
1,0,0,106620,10050,-96570,0,4,107,false,0
2,0,0,106620,14900,-91720,0,0,97,false,0
3,0,0,106620,19950,-86670,0,0,101,false,0
4,0,0,106620,24350,-82270,0,0,88,false,0
5,0,0,106620,29400,-77220,0,0,101,false,0
6,0,0,106620,34450,-72170,0,0,101,false,0
7,0,0,106620,39600,-67020,0,10,113,false,0
8,0,0,106620,44600,-62020,0,0,100,false,0
9,0,0,106620,49750,-56870,0,1,104,false,0
10,0,0,106620,54600,-52020,0,0,97,false,0
11,0,0,106620,59250,-47370,0,0,93,false,0
12,0,0,106620,63600,-43020,0,0,87,false,0
13,0,0,106620,68750,-37870,0,2,105,false,0
14,0,0,106620,73250,-33370,0,0,90,false,0
15,0,0,106620,78400,-28220,0,17,120,false,0
16,0,0,106620,83550,-23070,0,3,106,false,0
17,0,0,106620,88700,-17920,0,5,108,false,0
18,0,0,106620,93850,-12770,0,8,111,false,0
19,0,0,106620,98150,-8470,0,0,86,false,0
20,0,0,106620,103300,-3320,0,4,107,false,0
21,0,0,106620,107900,1280,0,0,92,false,0
22,0,0,106620,112900,6280,0,0,100,false,0
23,0,0,106620,117700,11080,0,0,96,false,0
24,0,0,106620,122850,16230,0,0,103,false,0
25,0,0,106620,128000,21380,0,18,121,false,0
26,0,0,106620,132600,25980,0,0,92,false,0
27,0,0,106620,137750,31130,0,5,108,false,0
28,0,0,106620,142350,35730,0,0,92,false,0
29,0,0,106620,145900,39280,0,0,71,false,0
30,0,0,106620,149750,43130,0,0,77,false,0
31,0,0,106620,154900,48280,0,4,107,false,0
32,0,0,106620,159450,52830,0,0,91,false,0
33,0,0,106620,164500,57880,0,0,101,false,0
34,0,0,106620,169450,62830,0,0,99,false,0
35,0,0,106620,174600,67980,0,6,109,false,0
36,0,0,106620,178850,72230,0,0,85,false,0
37,0,0,106620,183450,76830,0,0,92,false,0
38,0,0,106620,188600,81980,0,10,113,false,0
39,0,0,106620,192950,86330,0,0,87,false,0
40,0,0,106620,197800,91180,0,0,97,false,0
41,0,0,106620,202950,96330,0,3,106,false,0
42,0,0,106620,207550,100930,0,0,92,false,0
43,0,0,106620,212700,106080,0,1,104,false,0
44,0,0,106620,217000,110380,0,0,86,false,0
45,0,0,106620,221300,114680,0,0,86,false,0
46,0,0,106620,226000,119380,0,0,94,false,0
47,0,0,106620,231150,124530,0,7,110,false,0
48,0,0,106620,231150,124530,0,92,92,true,0
49,0,0,106620,231150,124530,0,110,110,true,0
50,0,0,106620,236300,129680,0,3,106,false,0
51,0,0,106620,241200,134580,0,0,98,false,0
52,0,0,213240,246200,32960,0,0,100,false,0
53,0,0,213240,251300,38060,0,0,102,false,0
54,0,0,213240,255900,42660,0,0,92,false,0
55,0,0,213240,261050,47810,0,2,105,false,0
56,0,0,213240,265950,52710,0,0,98,false,0
57,0,0,213240,271100,57860,0,4,107,false,0
58,0,0,213240,276250,63010,0,5,108,false,0
59,0,0,213240,281350,68110,0,0,102,false,0
60,0,0,213240,286200,72960,0,0,97,false,0
61,0,0,213240,289850,76610,0,0,73,false,0
62,0,0,213240,295000,81760,0,22,125,false,0
63,0,0,213240,299450,86210,0,0,89,false,0
64,0,0,213240,304150,90910,0,0,94,false,0
65,0,0,213240,309300,96060,0,4,107,false,0
66,0,0,213240,314200,100960,0,0,98,false,0
67,0,0,213240,318500,105260,0,0,86,false,0
68,0,0,213240,323650,110410,0,4,107,false,0
69,0,0,213240,328450,115210,0,0,96,false,0
70,0,0,213240,332850,119610,0,0,88,false,0
71,0,0,213240,336550,123310,0,0,74,false,0
72,0,0,213240,340800,127560,0,0,85,false,0
73,0,0,213240,345900,132660,0,0,102,false,0
74,0,0,213240,350700,137460,0,0,96,false,0
75,0,0,213240,355850,142610,0,2,105,false,0
76,0,0,213240,360900,147660,0,0,101,false,0
77,0,0,213240,366050,152810,0,2,105,false,0
78,0,0,213240,370950,157710,0,0,98,false,0
79,0,0,213240,376100,162860,0,18,121,false,0
80,0,0,213240,380400,167160,0,0,86,false,0
81,0,0,213240,385350,172110,0,0,99,false,0
82,0,0,213240,389500,176260,0,0,83,false,0
83,0,0,213240,393750,180510,0,0,85,false,0
84,0,0,213240,398500,185260,0,0,95,false,0
85,0,0,213240,402800,189560,0,0,86,false,0
86,0,0,213240,407300,194060,0,0,90,false,0
87,0,0,213240,411350,198110,0,0,81,false,0
88,0,0,213240,415600,202360,0,0,85,false,0
89,0,0,213240,420750,207510,0,12,115,false,0
90,0,0,213240,424650,211410,0,0,78,false,0
91,0,0,213240,428400,215160,0,0,75,false,0
92,0,0,213240,433550,220310,0,7,110,false,0
93,0,0,213240,438100,224860,0,0,91,false,0
94,0,0,213240,438100,224860,0,92,92,true,0
95,0,0,213240,443250,230010,0,6,109,false,0
96,0,0,213240,448400,235160,0,0,103,false,0
97,0,0,213240,453200,239960,0,0,96,false,0
98,0,0,213240,458350,245110,0,2,105,false,0
99,0,0,213240,462900,249660,0,0,91,false,0
100,0,0,213240,467500,254260,0,0,92,false,0
101,0,0,213240,471450,258210,0,0,79,false,0
102,0,0,213240,476600,263360,0,10,113,false,0
103,0,0,213240,481750,268510,0,0,103,false,0
104,0,0,319860,486900,167040,0,10,113,false,0
105,0,0,319860,491950,172090,0,0,101,false,0
106,0,0,319860,496250,176390,0,0,86,false,0
107,0,0,319860,500550,180690,0,0,86,false,0
108,0,0,319860,504950,185090,0,0,88,false,0
109,0,0,319860,509700,189840,0,0,95,false,0
110,0,0,319860,514850,194990,0,3,106,false,0
111,0,0,319860,519900,200040,0,0,101,false,0
112,0,0,319860,525050,205190,0,2,105,false,0
113,0,0,319860,530200,210340,0,4,107,false,0
114,0,0,319860,534350,214490,0,0,83,false,0
115,0,0,319860,539100,219240,0,0,95,false,0
116,0,0,319860,543650,223790,0,0,91,false,0
117,0,0,319860,548800,228940,0,2,105,false,0
118,0,0,319860,553950,234090,0,6,109,false,0
119,0,0,319860,559100,239240,0,9,112,false,0
120,0,0,319860,564150,244290,0,0,101,false,0
121,0,0,319860,568900,249040,0,0,95,false,0
122,0,0,319860,574050,254190,0,20,123,false,0
123,0,0,319860,578750,258890,0,0,94,false,0
124,0,0,319860,583600,263740,0,0,97,false,0
125,0,0,319860,588000,268140,0,0,88,false,0
